env_name,N_agents,local_ratio,model_path,test_method,sample_size,test_budget,avg_reward,avg_time_taken,top_percentage
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-33.704349665213186,16.06373902320862,0.4
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-38.100632440820036,26.20348521232605,0.4
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-38.35230575255279,26.008778505325317,0.4
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-38.63677617392653,17.346798362731935,0.4
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.37203002740804,25.934724340438844,0.5
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-33.925989435684116,14.45065019607544,0.5
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-37.566389633074095,26.020976877212526,0.5
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-37.629161704134525,25.694200296401977,0.5
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-39.71612507022825,13.272319240570068,0.5
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.513091329050205,26.021291751861572,0.6
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-34.55657874999357,11.80619161605835,0.6
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-37.71390259669328,26.062130832672118,0.6
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-37.35042391427496,25.902066679000853,0.6
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-39.11238309485387,11.149970932006836,0.6
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.425396149435855,26.08213604927063,0.7
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-35.477328021246706,9.227331657409668,0.7
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-37.70346485413183,26.065610551834105,0.7
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-39.06905524556614,26.065956325531005,0.7
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-41.1292750386494,9.546497344970703,0.7
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Testing,25,1000,-32.34024544624051,25.843753356933593,0.8
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-testing,25,1000,-36.063375826706945,6.924344625473022,0.8
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Random Q-low-testing,25,1000,-37.873769448948075,26.12184552192688,0.8
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Testing,25,1000,-37.99097221457121,25.68665849685669,0.8
simple_spread_v3,2,0.0,decentral_policies/simple_spread_v3_2,Genetic Q-testing,25,1000,-40.209365872428094,7.972274971008301,0.8
